20072;Roma Fiumicino Aeroporto;roma-fiumicino-aeroporto;\N;\N;41.793493;12.251865;\N;IT;Europe/Rome;f;f;t;t;f;f;\N;\N;f;\N;f;8301512;f;\N;f;ITROMRF;t;23691;t;\N;f;\N;f;8301512;f;\N;f;8308412;t;S08411;\N;\N;\N;f;\N;f;\N;f;\N;f;\N;f;\N;f;f;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;フィウミチーノ;\N;\N;\N;Фьюмичино;\N;\N;\N;urn:trainline:public:nloc:csv20072;FCO
20548;Palermo Aeroporto;palermo-aeroporto;8312133;\N;38.1864426;13.1055854;\N;IT;Europe/Rome;f;f;t;t;f;f;\N;\N;f;\N;f;8303931;f;\N;f;\N;f;\N;f;\N;f;\N;f;8303931;f;\N;f;8312133;t;S12133;\N;\N;\N;f;\N;f;\N;f;\N;f;\N;f;\N;f;f;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;urn:trainline:public:nloc:csv20548;PMO
22273;Torino Aeroporto di Caselle;torino-aeroporto-di-caselle;8300088;\N;45.19185940593988;7.641624212265015;\N;IT;Europe/Rome;f;f;t;t;f;f;\N;\N;f;\N;f;\N;f;\N;f;ITTRNTC;t;124533;t;\N;f;\N;f;\N;f;\N;f;8300088;t;S00088;\N;\N;\N;f;\N;f;\N;f;\N;f;\N;f;\N;f;f;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;urn:trainline:public:nloc:csv22273;TRN
23050;Reggio di Calabria Aeroporto;reggio-di-calabria-aeroporto;8313704;\N;38.06747285;15.6518808342914;\N;IT;Europe/Rome;f;f;t;t;f;f;\N;\N;f;\N;f;8313704;f;\N;f;\N;f;\N;f;\N;f;\N;f;8313704;f;\N;f;8313704;t;\N;\N;\N;\N;f;\N;f;\N;f;\N;f;\N;f;\N;f;f;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;urn:trainline:public:nloc:csv23050;REG
23103;Elmas Aeroporto;elmas-aeroporto;8312819;\N;39.2571822;9.0629485;\N;IT;Europe/Rome;f;f;t;t;f;f;\N;\N;f;\N;f;8312819;f;\N;f;\N;f;\N;f;\N;f;\N;f;8312819;f;\N;f;8312819;t;S12819;\N;\N;\N;f;\N;f;\N;f;\N;f;\N;f;\N;f;f;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;urn:trainline:public:nloc:csv23103;CAG
23116;Pisa Aeroporto;pisa-aeroporto;\N;\N;43.698969;10.400705;22187;IT;Europe/Rome;f;f;t;t;f;f;\N;\N;f;\N;f;8301855;f;\N;f;ITPSAPA;t;\N;f;\N;f;\N;f;\N;f;\N;f;8317001;t;S06450;\N;\N;\N;f;\N;f;\N;f;\N;f;\N;f;\N;f;f;\N;\N;\N;\N;Pise;\N;\N;\N;\N;\N;\N;ピサ;\N;Piza;\N;Пиза;\N;\N;比萨;urn:trainline:public:nloc:csv23116;PSA
23117;Roma Ciampino Aeroporto;roma-ciampino-aeroporto;8317011;\N;41.80423809568812;12.59955883026123;19309;IT;Europe/Rome;f;f;t;t;f;f;\N;\N;f;\N;f;\N;f;\N;f;ITROMRA;t;23701;t;\N;f;\N;f;\N;f;\N;f;8317011;t;S11866;\N;\N;\N;f;\N;f;\N;f;\N;f;\N;f;\N;f;f;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;チャンピーノ;\N;\N;\N;Чампино;\N;\N;\N;urn:trainline:public:nloc:csv23117;CIA
28933;Bergamo-Orio al Serio Aeroporto;bergamo-orio-al-serio-aeroporto;\N;\N;45.6714082;9.693355;\N;IT;Europe/Rome;f;f;t;t;f;f;\N;\N;f;\N;f;\N;f;\N;f;ITBERBO;t;23671;t;\N;f;\N;f;\N;f;\N;f;\N;f;\N;\N;\N;BGY;t;\N;f;\N;f;\N;f;\N;f;\N;f;f;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;urn:trainline:public:nloc:csv28933;BGY
28987;Lamezia Terme Aeroporto;lamezia-terme-aeroporto;8317014;\N;38.90539;16.24227;29341;IT;Europe/Rome;f;f;t;t;f;f;\N;\N;f;\N;f;\N;f;\N;f;ITSEULA;t;\N;f;\N;f;\N;f;\N;f;\N;f;8317014;t;S17014;\N;\N;\N;f;\N;f;\N;f;\N;f;\N;f;\N;f;f;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;urn:trainline:public:nloc:csv28987;SUF
28988;Malpensa Aeroporto;malpensa-aeroporto;8313834;\N;45.627934;8.710828;\N;IT;Europe/Rome;f;f;t;t;f;f;\N;\N;f;\N;f;\N;f;\N;f;ITMILMA;t;10778;t;1322054;t;\N;f;8303905;f;\N;f;8313834;t;\N;\N;\N;\N;f;\N;f;\N;f;\N;f;\N;f;\N;f;f;\N;Mailand;Milan;Milán;Milan;Milano;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;urn:trainline:public:nloc:csv28988;MXP
33298;Napoli Capodichino Aeroporto;napoli-capodichino-aeroporto;8386801;\N;40.860567;14.2529902;22184;IT;Europe/Rome;f;f;t;t;f;f;\N;\N;f;\N;f;\N;f;\N;f;ITRRONA;t;\N;f;\N;f;\N;f;\N;f;\N;f;8386801;t;\N;\N;\N;\N;f;\N;f;\N;f;\N;f;\N;f;\N;f;f;\N;Neapel;Naples;Nápoles;Naples;\N;\N;Napels;Neapol;\N;Nápoly;ナポリ;나폴리;Neapol;Nápoles;Неаполь;Neapel;\N;那不勒斯;urn:trainline:public:nloc:csv33298;NAP
33318;Trieste Aeroporto;trieste-aeroporto;8303213;\N;45.8174155;13.4854786;29020;IT;Europe/Rome;f;f;t;t;f;f;\N;\N;f;\N;f;\N;f;\N;f;ITTRSTA;t;23771;t;\N;f;\N;f;\N;f;\N;f;8303213;t;S03213;\N;\N;RHA;t;\N;f;\N;f;\N;f;\N;f;\N;f;f;\N;Triest;\N;\N;\N;\N;\N;Triëst;Terst;\N;Trieszt;トリエステ;트리에스테;Triest;\N;Триест;\N;\N;的里雅斯特;urn:trainline:public:nloc:csv33318;TRS
33322;Venezia Aeroporto Marco Polo;venezia-aeroporto-marco-polo;\N;\N;45.5053640124156;12.3390774644898;\N;IT;Europe/Rome;f;f;t;t;f;f;\N;\N;f;\N;f;\N;f;\N;f;ITVCEVA;t;23238;t;\N;f;\N;f;\N;f;\N;f;\N;f;\N;\N;\N;\N;f;\N;f;\N;f;\N;f;\N;f;\N;f;f;\N;Venedig;Venice;Venecia;Venise;\N;\N;Venetië;Benátky;Venedig;Velence;ヴェネツィア;베네치아;Wenecja;Veneza;Венеция;Venedig;Venedik;威尼斯;urn:trainline:public:nloc:csv33322;VCE
33323;Milano Linate Aeroporto;milano-linate-aeroporto;\N;\N;45.461278;9.278806;\N;IT;Europe/Rome;f;f;t;t;f;f;\N;\N;f;\N;f;\N;f;\N;f;ITMILML;t;23008;t;\N;f;\N;f;\N;f;\N;f;\N;f;\N;\N;\N;\N;f;\N;f;\N;f;\N;f;\N;f;\N;f;f;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;urn:trainline:public:nloc:csv33323;LIN
33324;Bari Aeroporto;bari-aeroporto;\N;\N;41.1389008;16.7605991;\N;IT;Europe/Rome;f;f;t;t;f;f;\N;\N;f;\N;f;\N;f;\N;f;ITBRIBI;t;26371;t;\N;f;\N;f;\N;f;\N;f;8355014;t;\N;\N;\N;\N;f;\N;f;\N;f;\N;f;\N;f;\N;f;f;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;urn:trainline:public:nloc:csv33324;BRI
33325;Treviso Aeroporto;treviso-aeroporto;\N;\N;45.65510900701;12.2045021751079;\N;IT;Europe/Rome;f;f;t;t;f;f;\N;\N;f;\N;f;\N;f;\N;f;ITTROTA;t;23741;t;\N;f;\N;f;\N;f;\N;f;\N;f;\N;\N;\N;\N;f;\N;f;\N;f;\N;f;\N;f;\N;f;f;\N;\N;\N;\N;Trévise;\N;\N;\N;\N;\N;\N;トレヴィーゾ;\N;\N;\N;Тревизо;\N;\N;\N;urn:trainline:public:nloc:csv33325;TSF
33342;Bologna Airport;bologna-airport;\N;\N;44.529283;11.294653;\N;IT;Europe/Rome;f;f;t;t;f;f;\N;\N;f;\N;f;\N;f;\N;f;ITBLQBA;t;\N;f;\N;f;\N;f;\N;f;\N;f;8317013;f;\N;\N;\N;\N;f;\N;f;\N;f;\N;f;\N;f;\N;f;f;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;urn:trainline:public:nloc:csv33342;BLQ
34276;Verona Aeroporto;verona-aeroporto;\N;\N;45.403;10.9082;8580;IT;Europe/Rome;f;f;t;t;t;t;\N;\N;f;\N;f;\N;f;\N;f;ITVRNVA;t;\N;f;\N;f;\N;f;\N;f;\N;f;8313882;t;\N;\N;\N;\N;f;\N;f;\N;f;\N;f;\N;f;\N;f;f;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;urn:trainline:public:nloc:csv34276;VRN
34277;Turin Cuneo Airport;turin-cuneo-airport;\N;\N;44.5476;7.61837;\N;IT;Europe/Rome;f;f;t;t;t;t;\N;\N;f;\N;f;\N;f;\N;f;ITTRNTA;t;\N;f;\N;f;\N;f;\N;f;\N;f;\N;f;\N;\N;\N;\N;f;\N;f;\N;f;\N;f;\N;f;\N;f;f;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;urn:trainline:public:nloc:csv34277;CUF
34620;Brindisi Aeroporto;brindisi-aeroporto;\N;\N;40.6582137;17.9361081;\N;IT;Europe/Rome;f;f;t;t;f;f;\N;\N;f;\N;f;\N;f;\N;f;ITBDSBA;t;\N;f;\N;f;\N;f;\N;f;\N;f;\N;f;\N;\N;\N;\N;f;\N;f;\N;f;\N;f;\N;f;\N;f;f;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;ブリンディジ;\N;\N;\N;Бриндизи;\N;\N;\N;urn:trainline:public:nloc:csv34620;BDS
34812;Catania Aeroporto Fontanarossa;catania-aeroporto-fontanarossa;8312336;\N;37.475735;15.061795;22160;IT;Europe/Rome;f;f;t;t;f;f;\N;\N;f;\N;f;\N;f;\N;f;\N;f;\N;f;\N;f;\N;f;\N;f;\N;f;8312336;t;S12336;\N;\N;XAP;t;\N;f;\N;f;\N;f;\N;f;\N;f;f;\N;\N;\N;\N;Catane;\N;\N;\N;\N;\N;\N;カターニア;\N;Katania;\N;Катания;\N;\N;\N;urn:trainline:public:nloc:csv34812;CTA
34813;Perugia Aeroporto;perugia-aeroporto;\N;\N;43.09522;12.50240;\N;IT;Europe/Rome;f;f;t;t;f;f;\N;\N;f;\N;f;\N;f;\N;f;\N;f;\N;f;\N;f;\N;f;\N;f;\N;f;8317015;t;\N;\N;\N;\N;f;\N;f;\N;f;\N;f;\N;f;\N;f;f;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;urn:trainline:public:nloc:csv34813;PEG
35144;Foggia Airport;foggia-airport;\N;\N;41.43391;15.5358782;\N;IT;Europe/Rome;f;f;t;t;f;f;\N;\N;f;\N;f;\N;f;\N;f;ITFOGFA;t;\N;f;\N;f;\N;f;\N;f;\N;f;\N;f;\N;\N;\N;\N;f;\N;f;\N;f;\N;f;\N;f;\N;f;f;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;urn:trainline:public:nloc:csv35144;FOG
35296;Genova Aeroporto Cristoforo Colombo;genova-aeroporto-cristoforo-colombo;8313919;\N;44.4153;8.85069;\N;IT;Europe/Rome;f;f;t;t;f;f;\N;\N;f;\N;f;\N;f;\N;f;ITGENGA;t;\N;f;\N;f;\N;f;\N;f;\N;f;8313919;t;\N;\N;\N;\N;f;\N;f;\N;f;\N;f;\N;f;\N;f;f;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;urn:trainline:public:nloc:csv35296;GOA
35310;Parma Airport;parma-airport;\N;\N;44.8213;10.2979;\N;IT;Europe/Rome;f;f;t;t;f;f;\N;\N;f;\N;f;\N;f;\N;f;ITPAMPA;t;\N;f;\N;f;\N;f;\N;f;\N;f;\N;f;\N;\N;\N;\N;f;\N;f;\N;f;\N;f;\N;f;\N;f;f;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;urn:trainline:public:nloc:csv35310;PMF
35348;Firenze-Peretola Aeroporto;firenze-peretola-aeroporto;\N;\N;43.8018;11.2007;8433;IT;Europe/Rome;f;f;t;t;f;f;\N;\N;f;\N;f;\N;f;\N;f;ITFLRFA;t;\N;f;\N;f;\N;f;\N;f;\N;f;\N;f;\N;\N;\N;\N;f;\N;f;\N;f;\N;f;\N;f;\N;f;f;\N;Florenz-Peretola;Florence-Peretola;Florencia-Peretola;Florence-Peretola;\N;\N;Florence-Peretola;Florencie-Peretola;\N;\N;フィレンツェ＝ペレトラ空港;피렌체;Firence-Peretola;Florença-Peretola;Флоренции Перетола;Florens-Peretola;Floransa-Peretola;佛罗伦萨-佩雷托拉机场;urn:trainline:public:nloc:csv35348;FLR
35406;Alghero Airport Fertilia;alghero-airport-fertilia;\N;\N;40.62877;8.294678;\N;IT;Europe/Rome;f;f;t;f;f;f;\N;\N;f;\N;f;\N;f;\N;f;\N;f;\N;f;\N;f;\N;f;\N;f;\N;f;\N;f;\N;\N;\N;\N;f;\N;f;\N;f;\N;f;\N;f;\N;f;f;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;urn:trainline:public:nloc:csv35406;AHO
